UserId,complain_count,last_order_dt,discount_purchases_count_avg,catalogue_purchases_count_avg,store_purchases_count_avg,website_purchases_count_avg,website_visit_count_avg,mobile_purchases_count_avg,mobile_visit_count_avg,marketing_company_outcome_1,marketing_company_outcome_2,marketing_company_outcome_3,marketing_company_outcome_4,marketing_company_outcome_5
fa432faf-93f6-4dbf-ae14-8a8b681a106f,0,2024-06-22,2,0,4,3,7,18,33,0,0,0,0,0
3146a104-ede9-4cbb-8869-b65cf60a35d0,0,2024-05-17,2,0,0,2,5,3,1,1,1,0,1,0
191455cb-b4cc-4ef4-abf6-056349caf299,2,2024-05-27,2,2,8,6,6,1,1,0,0,0,0,0
e0037cb7-8e9a-4adf-b03a-ea8d9bcb67e9,0,2024-06-03,5,0,2,1,0,4,41,0,0,1,1,1
00c8adb8-4694-4137-a352-404bd16cd299,0,2024-07-02,0,0,2,0,4,0,39,1,0,0,1,1
38c84b62-8717-4918-bb1a-53957d14ca81,0,2024-05-25,2,0,3,2,8,9,16,0,0,0,0,0
02448415-4639-4db9-a5f2-796e85fafc8e,2,2024-06-27,1,0,0,0,4,2,33,1,0,1,1,1
19742c01-82da-4fe9-8770-131707627390,0,2024-05-17,1,0,1,0,4,0,41,0,1,1,0,1
a1d274f0-03b7-4b39-92a5-3dcbca946a0b,0,2024-05-17,5,3,3,3,6,7,12,0,0,1,0,0
fbf550fd-58e4-44d4-9c6c-214a18a64349,0,2024-06-04,4,0,4,2,5,2,3,0,0,0,0,0
be576e3b-7412-49fe-bf2c-da7223a33606,0,2024-07-05,1,5,3,4,19,48,75,1,0,1,1,0
5790a1a2-6a0c-420a-9887-fcccea59e205,0,2024-06-02,2,0,1,2,5,0,1,1,1,1,1,1
17a3136b-1b2c-45f2-8df8-a5988ae6f6b6,0,2024-05-14,1,1,2,3,7,16,29,0,0,0,0,0
51065df7-a72d-4e01-810c-d930909ca382,0,2024-06-29,2,10,5,7,6,11,20,0,0,1,0,0
0b8cd65c-840c-4c22-85f7-ae6ff3f4d183,1,2024-06-27,2,1,8,8,6,20,36,0,0,0,0,0
