userid,join_datetime,age,income,kids,teenagers,marital,education
dc9d5bd4-ec88-4546-b46c-fe9d6eaba691,2023-09-11 21:09:07,70,115443.0,0,0,divorced,bachelor
35821e5c-cc2a-425c-a270-5377de69177c,2023-12-25 14:09:54,71,107793.0,0,1,married,masters
d4810416-7e2a-4d1b-8440-30f39cd42aca,2022-11-14 12:31:05,13,25508.0,0,0,single,
b56b1df3-8a67-4d61-82cf-dd9ed659bd63,2023-12-07 01:57:02,20,81139.0,0,0,single,bachelor
06583f0c-f0b2-4f50-add5-5f16238b33bb,2022-08-22 00:24:55,16,26121.0,0,0,single,masters
607a82ac-14b3-45db-85c1-e0d668b1793a,2024-05-13 20:35:20,58,70183.0,0,0,single,masters
8a1e5952-c903-4b0c-a014-6f8d343ff101,2024-01-25 04:54:21,22,79870.0,0,0,single,bachelor
1cda23eb-4778-401c-a914-d0bdbba0013c,2023-05-18 11:35:35,17,25966.0,0,0,single,
985a4133-a3b9-48e8-8989-a2c5906539be,2024-01-14 12:42:46,44,95755.0,0,1,married,phd
14c50c40-d3d5-40e4-9f62-a190b7a50df3,2022-10-10 21:48:39,63,51091.0,1,1,dating,bachelor
8ac3079e-7417-4119-9d46-dfc10c9921e8,2022-05-22 03:13:43,45,67160.0,1,1,single,bachelor
c546be5f-532a-4170-b826-9c0b8b850805,2023-03-08 01:38:46,18,26280.0,0,0,single,masters
948c0917-ab35-4a98-909e-4f85e689047c,2023-02-04 08:01:35,49,64791.0,0,1,married,masters
9bfe3ba4-f1e3-4ae3-b6fb-91b00ca67ab4,2023-03-30 23:40:02,44,74681.0,0,2,married,masters
05ba043f-4778-4c2f-9862-c40b84b484b6,2023-01-15 09:39:39,48,49762.0,1,0,single,bachelor
167bdd82-425e-4dab-8806-fb94e9907e3f,2024-04-14 19:42:51,55,96794.0,0,1,married,bachelor
23fb4f46-fbd1-42df-a8ab-3118c921a607,2023-12-08 18:48:33,66,64898.0,0,1,dating,bachelor
aad230cf-645c-4c6e-a9e9-43cccb2570e1,2024-02-25 23:32:16,64,71086.0,0,1,divorced,bachelor
fc9fe3fc-0044-4b73-aacd-6af332f8698d,2024-04-02 01:10:29,41,48724.0,1,0,dating,basic
8db9df83-ee1d-4300-8d7f-665900e12502,2022-06-23 09:00:27,45,70503.0,1,0,married,phd
666e6236-a979-420a-be78-c06672756ad1,2023-09-21 02:59:49,21,66183.0,0,0,single,masters
5ef3b28f-1441-44fe-96db-c96e0174d375,2024-01-05 17:42:49,66,61130.0,0,1,single,bachelor
316e1557-7daf-42ec-a3e8-e210ef659b87,2022-08-31 15:21:24,34,45425.0,1,0,married,basic
4968d8cf-531c-4b12-989c-3ad88be6e8b9,2024-02-25 20:56:34,47,84604.0,0,1,married,masters
daf88097-c71e-481f-aa62-96798c00c3c3,2023-09-05 01:59:21,47,57644.0,1,0,married,phd
fca2ef5d-1770-44b2-9cb7-39951e308a71,2023-11-12 23:09:15,46,81891.0,0,1,married,masters
eec50cee-a611-459d-a19b-c36108af0e64,2022-07-21 02:27:01,65,112553.0,0,0,married,bachelor
e7713624-1f43-4864-bd9e-bffaccb9a585,2023-06-29 12:48:50,13,25729.0,0,0,single,bachelor
2fc80eee-f410-4bbf-a113-4a656b973b32,2023-05-18 04:41:33,17,26836.0,0,0,single,
532892eb-8ab4-4a16-b0aa-86bfc32204bf,2023-08-07 05:22:53,16,26159.0,0,0,single,masters
7a77a421-1ba9-4549-bd8d-c3e03cac17a9,2022-12-03 12:28:40,21,69210.0,0,0,single,bachelor
d4734a20-bc43-4226-bc9d-02bb42af866d,2024-01-14 14:02:01,53,85712.0,0,1,married,bachelor
77a8de54-6f8b-47ec-86c4-108e8d1a6ec3,2024-05-26 00:44:26,23,57779.0,0,0,single,bachelor
521d4029-781b-48b0-aac2-c3b4c6530508,2024-05-22 10:51:17,19,81436.0,0,0,single,bachelor
98a61785-933a-4e87-b87e-4790a1839dbe,2023-01-25 04:41:26,64,71257.0,1,1,dating,masters
434dea3e-4e37-463f-b799-8b90cdd03fe9,2022-08-21 19:50:05,11,26817.0,0,0,single,basic
e365993e-03e2-4090-959e-7f63a0f8a5c5,2023-03-31 16:14:57,46,70207.0,1,1,married,phd
55fc5173-2a95-4bf8-9021-5716283c8702,2023-02-10 10:38:22,45,102438.0,0,0,single,bachelor
e8e837f3-a6a9-4f9a-ab7f-ea74b03477c2,2023-10-18 19:16:47,56,71910.0,1,1,dating,phd
5042d1b9-b0e2-482f-92f1-ebf64893c675,2022-08-10 02:19:52,20,61366.0,0,0,single,masters
78b72be6-8054-4ab1-b79a-9a5a0c7f3ce6,2022-12-15 06:41:12,15,26921.0,0,0,single,bachelor
fb893c64-56f5-4afb-ad45-0c4b69b54c53,2023-01-17 22:26:01,11,25891.0,0,0,single,masters
acc90e46-4c8c-4bfb-b7a7-1a0395fe1c42,2023-06-05 16:33:56,36,115826.0,0,0,single,phd
252622e7-903b-4e8a-a77e-399447afcd0f,2024-01-17 09:23:09,66,111811.0,0,1,divorced,bachelor
5e44b2a2-831a-41bb-99eb-6e20a7a9308d,2023-06-01 22:30:32,15,26035.0,0,0,single,masters
009028d5-864d-4559-8f62-e94468e4c4e5,2023-09-05 00:20:40,58,120555.0,0,0,married,bachelor
d3facaee-3597-401e-9454-51d3edff06ef,2022-10-08 10:11:47,15,26752.0,0,0,single,masters
b8307238-fb1a-4c1a-bc28-9fe3cae305f7,2022-09-09 10:11:19,48,63808.0,1,0,single,bachelor
fbfcb4b2-158c-4e26-8f69-e84f6ff58134,2022-07-06 01:25:56,37,126961.0,0,0,divorced,phd
43754347-fd74-4602-9ece-535ffaef6fdb,2023-06-24 03:21:35,62,71020.0,1,1,single,phd
41a8a10c-f66e-4d24-af05-160a3caf266d,2022-07-14 20:01:32,15,26554.0,0,0,single,masters
f63a9f8a-4e7e-4935-a463-7aa451008982,2023-08-20 13:28:58,47,45427.0,1,0,dating,phd
49dce7c6-a32b-41fa-bbec-55daa2f3d91b,2023-06-19 06:00:18,64,40759.0,0,0,married,bachelor
